case_id,exception_class_derived,outcome_label,exposure_eur,abs_variance_pct,vendor,A_prediction,A_confident,A_correct,B_exception_type,B_prediction,B_confidence,B_correct,C_decision,C_acted,C_correct_when_acted,near_miss,policy_version,routed_to,counterfactual_check,n_tool_calls,tools_used,agent_reasoning,final_bucket
2000052825_00001,MISSING_GOODS_RECEIPT,UNRESOLVED_IN_LOG,23501.0,,vendorID_0058,,False,False,MISSING_GOODS_RECEIPT,UNRESOLVED_IN_LOG,0.4,True,ESCALATE,False,False,False,v1.0,Procurement,Not auto-resolved: the agent could not assemble a complete evidence set.,3,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",ai_added_value
4507000914_00020,NO_EXCEPTION,CLEARED_WITHOUT_BLOCK,3468.0,0.0,vendorID_0106,CLEARED_WITHOUT_BLOCK,True,True,PRICE_VARIANCE_WITHIN_TOLERANCE,CLEARED_WITHOUT_BLOCK,0.95,True,AUTO_RESOLVE,True,True,False,v1.0,,"Auto-resolved: class permitted, value within cap, evidence complete, not near a boundary.",3,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",rules_sufficient
4507001050_00010,NO_EXCEPTION,CLEARED_WITHOUT_BLOCK,1219.0,0.0,vendorID_0450,CLEARED_WITHOUT_BLOCK,True,True,PRICE_VARIANCE_WITHIN_TOLERANCE,CLEARED_WITHOUT_BLOCK,0.95,True,AUTO_RESOLVE,True,True,False,v1.0,,"Auto-resolved: class permitted, value within cap, evidence complete, not near a boundary.",3,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",rules_sufficient
4507001052_00010,NO_EXCEPTION,CLEARED_WITHOUT_BLOCK,3983.0,0.0,vendorID_0451,CLEARED_WITHOUT_BLOCK,True,True,PRICE_VARIANCE_WITHIN_TOLERANCE,CLEARED_WITHOUT_BLOCK,0.95,True,AUTO_RESOLVE,True,True,False,v1.0,,"Auto-resolved: class permitted, value within cap, evidence complete, not near a boundary.",3,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",rules_sufficient
4507001117_00010,NO_EXCEPTION,CLEARED_WITHOUT_BLOCK,42.0,0.0,vendorID_0105,CLEARED_WITHOUT_BLOCK,True,True,PRICE_VARIANCE_WITHIN_TOLERANCE,CLEARED_WITHOUT_BLOCK,0.95,True,AUTO_RESOLVE,True,True,False,v1.0,,"Auto-resolved: class permitted, value within cap, evidence complete, not near a boundary.",3,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",rules_sufficient
4507001137_00170,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,CLEARED_WITHOUT_BLOCK,114.0,0.0,vendorID_0110,,False,False,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,False,HUMAN_APPROVAL,False,False,False,v1.0,AP Team Lead,Not auto-resolved: class tier is HUMAN_APPROVAL.,4,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",human_necessary
4507001454_00030,NO_EXCEPTION,CLEARED_WITHOUT_BLOCK,3742.0,0.0,vendorID_0481,CLEARED_WITHOUT_BLOCK,True,True,PRICE_VARIANCE_WITHIN_TOLERANCE,CLEARED_WITHOUT_BLOCK,0.95,True,AUTO_RESOLVE,True,True,False,v1.0,,"Auto-resolved: class permitted, value within cap, evidence complete, not near a boundary.",3,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",rules_sufficient
4507001614_00120,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,CLEARED_WITHOUT_BLOCK,209.0,0.0,vendorID_0278,,False,False,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,False,HUMAN_APPROVAL,False,False,False,v1.0,AP Team Lead,Not auto-resolved: class tier is HUMAN_APPROVAL.,4,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",human_necessary
4507002639_00020,NO_EXCEPTION,CLEARED_WITHOUT_BLOCK,713.0,0.0,vendorID_0221,CLEARED_WITHOUT_BLOCK,True,True,PRICE_VARIANCE_WITHIN_TOLERANCE,CLEARED_WITHOUT_BLOCK,0.95,True,AUTO_RESOLVE,True,True,False,v1.0,,"Auto-resolved: class permitted, value within cap, evidence complete, not near a boundary.",3,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",rules_sufficient
4507003540_00030,NO_EXCEPTION,CLEARED_WITHOUT_BLOCK,631.0,0.0,vendorID_0437,CLEARED_WITHOUT_BLOCK,True,True,PRICE_VARIANCE_WITHIN_TOLERANCE,CLEARED_WITHOUT_BLOCK,0.95,True,AUTO_RESOLVE,True,True,False,v1.0,,"Auto-resolved: class permitted, value within cap, evidence complete, not near a boundary.",3,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",rules_sufficient
